param, seed, node, throughput_bits, throughput_packets, loss_rate, collision_rate
0.072192513369, 44, 8, 2049762.03636, 108.25, 0.0, 0.0233082706767
0.072192513369, 44, 9, 527781.785943, 27.55, 0.0, 0.0
0.072192513369, 45, 0, 2074294.67753, 108.066666667, 0.0, 0.0175757575758
0.072192513369, 45, 1, 1065980.16682, 55.4, 0.0, 0.0154028436019
0.072192513369, 45, 2, 2100014.09273, 110.083333333, 0.0, 0.00929953502325
0.072192513369, 45, 3, 1037815.89249, 54.1, 0.0, 0.0205190102595
0.072192513369, 45, 4, 2581769.63516, 134.4, 0.0, 0.0265572187349
0.072192513369, 45, 5, 2540481.1745, 133.35, 0.0, 0.0355593056895
0.072192513369, 45, 6, 1051645.12513, 55.5166666667, 0.0, 0.0
0.072192513369, 45, 7, 518196.734408, 27.5, 0.0, 0.0
0.072192513369, 45, 8, 2050452.26311, 107.333333333, 0.0, 0.024685748902
0.072192513369, 45, 9, 525376.243344, 28.05, 0.0, 0.0
0.072192513369, 46, 0, 2067845.93549, 108.883333333, 0.0, 0.0186270091633
0.072192513369, 46, 1, 1029915.26352, 54.3, 0.0, 0.0186746987952
0.072192513369, 46, 2, 2085045.87988, 109.866666667, 0.0, 0.00692979813197
0.072192513369, 46, 3, 1042068.1437, 54.9833333333, 0.0, 0.013161830691
0.072192513369, 46, 4, 2561127.17703, 134.483333333, 0.0, 0.0264237451737
0.072192513369, 46, 5, 2549564.96387, 134.883333333, 0.0, 0.031242518554
0.072192513369, 46, 6, 1052167.02899, 55.4333333333, 0.0, 0.0
0.072192513369, 46, 7, 551339.610129, 28.65, 0.0, 0.0
0.072192513369, 46, 8, 2087412.40642, 109.5, 0.0, 0.0242091192633
0.072192513369, 46, 9, 538383.776368, 28.1333333333, 0.0, 0.0
0.072192513369, 47, 0, 2073779.97856, 109.55, 0.0, 0.0117275597654
0.072192513369, 47, 1, 1028016.23447, 54.5166666667, 0.0, 0.0168319807635
0.072192513369, 47, 2, 2100435.19981, 110.333333333, 0.0, 0.00868523510033
0.072192513369, 47, 3, 1022302.3579, 54.4833333333, 0.0, 0.0147679324895
0.072192513369, 47, 4, 2563590.03239, 135.25, 0.0, 0.0238181162035
0.072192513369, 47, 5, 2558907.0309, 135.15, 0.0, 0.0331465363062
0.072192513369, 47, 6, 1074423.66848, 56.15, 0.0, 0.0
0.072192513369, 47, 7, 518841.869302, 27.2833333333, 0.0, 0.0
0.072192513369, 47, 8, 2038337.51318, 107.533333333, 0.0, 0.0281668926043
0.072192513369, 47, 9, 534593.558207, 28.1166666667, 0.0, 0.0
0.072192513369, 48, 0, 2062950.00952, 108.516666667, 0.0, 0.0185408501658
0.072192513369, 48, 1, 1038008.43126, 54.5333333333, 0.0, 0.0126735063368
0.072192513369, 48, 2, 2111568.37176, 109.733333333, 0.0, 0.00753693096171
0.072192513369, 48, 3, 1043513.31898, 54.0666666667, 0.0, 0.0163735597332
0.072192513369, 48, 4, 2583237.56643, 135.35, 0.0, 0.0253240518483
0.072192513369, 48, 5, 2574824.68247, 134.083333333, 0.0, 0.0331690902536
0.072192513369, 48, 6, 1065698.4401, 55.15, 0.0, 0.0
0.072192513369, 48, 7, 535701.588055, 28.3666666667, 0.0, 0.0
0.072192513369, 48, 8, 2060217.22597, 108.316666667, 0.0, 0.0263670411985
0.072192513369, 48, 9, 541446.683689, 28.1666666667, 0.0, 0.0
0.072192513369, 49, 0, 2048635.93972, 109.583333333, 0.0, 0.0114268531048
0.072192513369, 49, 1, 1026966.32627, 54.9666666667, 0.0, 0.0166964818128
0.072192513369, 49, 2, 2046377.79448, 110.2, 0.0, 0.00750525367757
0.072192513369, 49, 3, 1032828.36694, 54.95, 0.0, 0.00961249624512
0.072192513369, 49, 4, 2531590.66994, 135.7, 0.0, 0.0206879961511
0.072192513369, 49, 5, 2493743.27732, 133.016666667, 0.0, 0.033074872789
0.072192513369, 49, 6, 1031070.16073, 55.3166666667, 0.0, 0.0
0.072192513369, 49, 7, 528608.759979, 27.2666666667, 0.0, 0.0
0.072192513369, 49, 8, 2021885.97288, 107.533333333, 0.0, 0.0225723375246
0.072192513369, 49, 9, 528269.895541, 27.4166666667, 0.0, 0.0
0.0489130434783, 0, 0, 3050810.8751, 161.616666667, 0.0, 0.0220855183542
0.0489130434783, 0, 1, 1530827.31713, 80.65, 0.0, 0.0269455057309
0.0489130434783, 0, 2, 3076132.82709, 162.85, 0.0, 0.0104314360948
0.0489130434783, 0, 3, 1511890.21388, 79.6, 0.0, 0.0164744645799
0.0489130434783, 0, 4, 3701961.77577, 196.783333333, 0.0, 0.0377343113284
0.0489130434783, 0, 5, 3652546.66098, 195.516666667, 0.0, 0.0436165008968
0.0489130434783, 0, 6, 1558392.62931, 82.3666666667, 0.0, 0.0
0.0489130434783, 0, 7, 774870.74273, 40.9333333333, 0.0, 0.0
0.0489130434783, 0, 8, 2977608.53786, 158.833333333, 0.0, 0.0369846402587
0.0489130434783, 0, 9, 763727.275737, 40.9833333333, 0.0, 0.0
0.0489130434783, 1, 0, 3003500.72424, 158.183333333, 0.0, 0.0255646817248
0.0489130434783, 1, 1, 1505923.10468, 80.0166666667, 0.0, 0.0239886155723
0.0489130434783, 1, 2, 3074444.35966, 162.066666667, 0.0, 0.0119894330421
0.0489130434783, 1, 3, 1514790.0378, 79.8, 0.0, 0.0220588235294
0.0489130434783, 1, 4, 3708692.34196, 196.383333333, 0.0, 0.0388286157109
0.0489130434783, 1, 5, 3668872.5503, 194.383333333, 0.0, 0.047685147383
0.0489130434783, 1, 6, 1560084.4279, 82.2166666667, 0.0, 0.0
0.0489130434783, 1, 7, 772310.546755, 40.65, 0.0, 0.0
0.0489130434783, 1, 8, 2956567.7763, 156.133333333, 0.0, 0.0386865059005
0.0489130434783, 1, 9, 772215.718746, 40.8166666667, 0.0, 0.0
0.0489130434783, 2, 0, 2965865.56854, 157.9, 0.0, 0.027509751591
0.0489130434783, 2, 1, 1496211.28323, 79.5833333333, 0.0, 0.0215163934426
0.0489130434783, 2, 2, 3059829.63217, 160.316666667, 0.0, 0.0113064035358
0.0489130434783, 2, 3, 1513334.58841, 78.9333333333, 0.0, 0.0239076669415
0.0489130434783, 2, 4, 3686851.56952, 194.9, 0.0, 0.0405316704956
0.0489130434783, 2, 5, 3685063.14634, 194.683333333, 0.0, 0.0425409836066
0.0489130434783, 2, 6, 1563916.71059, 81.8333333333, 0.0, 0.0
0.0489130434783, 2, 7, 814222.349164, 41.9833333333, 0.0, 0.0
0.0489130434783, 2, 8, 2981520.90327, 157.916666667, 0.0, 0.0328672042462
0.0489130434783, 2, 9, 781666.332714, 41.0, 0.0, 0.0
0.0489130434783, 3, 0, 3050071.72056, 159.85, 0.0, 0.0253048780488
0.0489130434783, 3, 1, 1509604.95135, 79.1833333333, 0.0, 0.0270325619496
0.0489130434783, 3, 2, 3101471.38694, 162.2, 0.0, 0.01127704968
